"","Formula","Coef","Beta","Se","Z","P","Ci.lb","Ci.ub"
"1","Intercept","intrcpt",0.5,0.05,11.08,0,0.41,0.59
"2","Phylogeny","intrcpt",0.5,0.05,11.08,0,0.41,0.59
"3","HostGroup + NID + Area + NYears","intrcpt",0.61,0.09,6.44,0,0.42,0.79
"4","HostGroup + NID + Area + NYears","HostGroupCarnivore",0.04,0.15,0.28,0.78,-0.25,0.34
"5","HostGroup + NID + Area + NYears","HostGroupCetacean",-0.27,0.15,-1.75,0.08,-0.56,0.03
"6","HostGroup + NID + Area + NYears","HostGroupEctotherm",-0.08,0.13,-0.6,0.55,-0.34,0.18
"7","HostGroup + NID + Area + NYears","HostGroupLargeHerbivore",0.06,0.13,0.45,0.65,-0.2,0.32
"8","HostGroup + NID + Area + NYears","HostGroupShark",-0.24,0.23,-1.07,0.28,-0.69,0.2
"9","HostGroup + NID + Area + NYears","HostGroupSmallMammal",-0.32,0.16,-2.01,0.04,-0.62,-0.01
"10","HostGroup + NID + Area + NYears","NID",0,0,-1.93,0.05,0,0
"11","HostGroup + NID + Area + NYears","Area",-0.02,0.03,-0.61,0.54,-0.07,0.04
"12","HostGroup + NID + Area + NYears","NYears",0,0,1.08,0.28,0,0.01
"13","NID + Area + NYears","intrcpt",0.49,0.06,7.99,0,0.37,0.62
"14","NID + Area + NYears","NID",0,0,-0.5,0.62,0,0
"15","NID + Area + NYears","Area",0,0.02,0.2,0.85,-0.04,0.05
"16","NID + Area + NYears","NYears",0,0,0.41,0.68,-0.01,0.01
