"SystemReplicate","Species","Behaviour","HostGroup","N","NID","Area","NYears","Response","Estimate","SE","t","R2","LinearLower","LinearUpper","Sig"
"AcornWoodpeckers_GOG","Melanerpes formicivorus","Proximity","Bird",143,86,7.62775732173913,3,"Strength",0.146290217442966,0.0833091811360774,1.75599154196481,0.0214008277195105,-0.0184063260372796,0.310986760923211,0
"AfricanDogs_ProximityCollar","Canis lupus","Proximity","Carnivore",297,223,75.6352852098904,2,"Strength",-0.0603284001435728,0.0581162039930612,-1.03806504896252,0.00363951586388311,-0.174703304694667,0.0540465044075214,0
"BeakedWhales_Census","Hyperoodon ampullatus","Proximity","Cetacean",942,526,351.072291321316,15,"Strength",0.120433475535283,0.032379001896266,3.71949314315249,0.0145042220295076,0.0568899797808471,0.183976971289719,1
"ChagosSharks_GOG","Carcharhinus amblyrhynchos","Proximity","Shark",103,71,1.29074010782193,3,"Strength",0.37372452514199,0.0922936542076642,4.04929817060982,0.139670020692606,0.190638741914182,0.556810308369797,1
"DesertTortoises_DenSharing","Gopherus agassizii","Proximity","Ectotherm",6864,3544,1.05539389312506,4,"Strength",0.21835214718354,0.011780578817729,18.5349251986612,0.0476776601796624,0.195258563597794,0.241445730769286,1
"EuropeanBoar_ProximityCollar","Sus scrofa","Proximity","LargeHerbivore",46,46,1058.60672201452,1,"Strength",0.0453961229935934,0.150600252928765,0.301434573387244,0.00206080798284947,-0.258118743462069,0.348910989449255,0
"FalkirkMice_TrapProximity","Apodemus sylvaticus","Proximity","SmallMammal",168,168,0.0377755,1,"Strength",0.0502164355359453,0.0775171302328105,0.64781081788152,0.00252169039793559,-0.102830112355694,0.203262983427585,0
"FieldingCows_ProximityCollar","Bos taurus","Proximity","LargeHerbivore",365,365,0.00788626967676345,1,"Strength",-0.0267862506062831,0.0524675551530878,-0.510529803192225,0.000717503221542515,-0.129964780774992,0.0763922795624255,0
"GoldenCrownedSparrows_GOG","Zonotrichia atricapilla","Proximity","Bird",688,341,0.113428125,5,"Strength",0.412966420528064,0.0347724534820409,11.8762520091184,0.170541264483762,0.344693207855535,0.481239633200593,1
"KalahariMeerkats_GOG","Suricata suricatta","Proximity","Carnivore",6418,2734,2.37981730000007,22,"Strength",0.518543497933305,0.0106748054520334,48.5763886061766,0.268887359248909,0.497617316038494,0.539469679828117,1
"KenyanElephants_GOG","Loxodonta africana","Proximity","LargeHerbivore",215,151,11677.138635026,2,"Strength",0.465304305035352,0.0606495321098482,7.67201804941536,0.216508096284432,0.345754137670054,0.58485447240065,1
"KielderVoles_TrapProximity","Microtus agrestis","Proximity","SmallMammal",10029,9140,0.050075,6,"Strength",0.0140644009286081,0.00998553952292161,1.40847681753435,0.00019780737348063,-0.00550925964503579,0.0336380615022521,0
"LiverpoolMice_TrapProximity","Apodemus sylvaticus","Proximity","SmallMammal",4110,4054,0.0284,4,"Strength",0.105536681523513,0.0155150303170286,6.80222206254287,0.0111379911469954,0.0751188187306129,0.135954544316414,1
"MooreaSharks_GOG","Carcharhinus melanopterus","Proximity","Shark",269,105,11.7498766936997,3,"Strength",0.314046052914871,0.0581028107466532,5.40500621018512,0.0986249233514096,0.199648089903461,0.428444015926281,1
