"","Formula","Coef","Beta","Se","Z","P","Ci.lb","Ci.ub"
"1","Intercept","intrcpt",0.12,0.02,5.14,0,0.07,0.16
"2","Phylogeny","intrcpt",0.12,0.03,4.13,0,0.06,0.18
"3","Portion + HostGroup + NID + Area + NYears","intrcpt",0.26,0.06,4.16,0,0.14,0.38
"4","Portion + HostGroup + NID + Area + NYears","PortionLast",-0.11,0.04,-2.83,0,-0.18,-0.03
"5","Portion + HostGroup + NID + Area + NYears","HostGroupCarnivore",-0.15,0.08,-1.72,0.09,-0.31,0.02
"6","Portion + HostGroup + NID + Area + NYears","HostGroupCetacean",-0.23,0.09,-2.64,0.01,-0.4,-0.06
"7","Portion + HostGroup + NID + Area + NYears","HostGroupEctotherm",-0.17,0.08,-2.07,0.04,-0.33,-0.01
"8","Portion + HostGroup + NID + Area + NYears","HostGroupLargeHerbivore",-0.18,0.08,-2.31,0.02,-0.34,-0.03
"9","Portion + HostGroup + NID + Area + NYears","HostGroupShark",-0.04,0.09,-0.4,0.69,-0.22,0.15
"10","Portion + HostGroup + NID + Area + NYears","HostGroupSmallMammal",-0.17,0.08,-2.15,0.03,-0.33,-0.01
"11","Portion + HostGroup + NID + Area + NYears","NID",0,0,-1.6,0.11,0,0
"12","Portion + HostGroup + NID + Area + NYears","Area",0,0.01,0.24,0.81,-0.02,0.03
"13","Portion + HostGroup + NID + Area + NYears","NYears",0.01,0,3.57,0,0,0.01
"14","Portion + NID + Area + NYears","intrcpt",0.13,0.04,3.53,0,0.06,0.2
"15","Portion + NID + Area + NYears","PortionLast",-0.11,0.04,-2.63,0.01,-0.19,-0.03
"16","Portion + NID + Area + NYears","NID",0,0,-1.71,0.09,0,0
"17","Portion + NID + Area + NYears","Area",0,0.01,0.18,0.86,-0.02,0.02
"18","Portion + NID + Area + NYears","NYears",0.01,0,3.1,0,0,0.01
"19","HostGroup + NID + Area + NYears","intrcpt",0.21,0.06,3.26,0,0.08,0.33
"20","HostGroup + NID + Area + NYears","HostGroupCarnivore",-0.15,0.09,-1.62,0.11,-0.32,0.03
"21","HostGroup + NID + Area + NYears","HostGroupCetacean",-0.23,0.09,-2.49,0.01,-0.41,-0.05
"22","HostGroup + NID + Area + NYears","HostGroupEctotherm",-0.17,0.09,-1.96,0.05,-0.34,0
"23","HostGroup + NID + Area + NYears","HostGroupLargeHerbivore",-0.18,0.08,-2.18,0.03,-0.35,-0.02
"24","HostGroup + NID + Area + NYears","HostGroupShark",-0.04,0.1,-0.37,0.71,-0.23,0.16
"25","HostGroup + NID + Area + NYears","HostGroupSmallMammal",-0.17,0.08,-2.04,0.04,-0.33,-0.01
"26","HostGroup + NID + Area + NYears","NID",0,0,-1.51,0.13,0,0
"27","HostGroup + NID + Area + NYears","Area",0,0.01,0.22,0.83,-0.03,0.03
"28","HostGroup + NID + Area + NYears","NYears",0.01,0,3.38,0,0,0.01
"29","NID + Area + NYears","intrcpt",0.07,0.03,2.44,0.01,0.01,0.13
"30","NID + Area + NYears","NID",0,0,-1.65,0.1,0,0
"31","NID + Area + NYears","Area",0,0.01,0.15,0.88,-0.02,0.02
"32","NID + Area + NYears","NYears",0.01,0,2.92,0,0,0.01
